x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-737.0000E-06,+1.1289258673E+00,+368.6401E-06,-90.4444086E-03,-38.7355905E-03
-736.5000E-06,+1.1992776253E+00,+131.5170E-06,-90.1146347E-03,-37.9504147E-03
-736.0000E-06,+1.2338253637E+00,+490.3423E-06,-90.1931523E-03,-39.0496609E-03
-735.5000E-06,+1.3512876740E+00,+1.2331187E-03,-90.5229262E-03,-34.4956408E-03
-735.0000E-06,+1.2240891829E+00,+791.8499E-06,-90.3030769E-03,-34.3386057E-03
-734.5000E-06,+1.0347047628E+00,+623.8222E-06,-90.1931523E-03,-33.8675001E-03
-734.0000E-06,+1.0497801395E+00,+535.8825E-06,-90.0361171E-03,-36.0659926E-03
-733.5000E-06,+1.1173052644E+00,+481.7054E-06,-90.5857402E-03,-31.9830780E-03
-733.0000E-06,+1.0406720994E+00,+108.7469E-06,-90.6799613E-03,-32.4541836E-03
-732.5000E-06,+1.1358354150E+00,+281.4855E-06,-90.8998106E-03,-33.2393594E-03
-732.0000E-06,+1.1546796359E+00,-9.0295E-06,-90.3187804E-03,-32.4541836E-03
-731.5000E-06,+1.2322550119E+00,+756.5170E-06,-90.9312176E-03,-31.1979022E-03
-731.0000E-06,+1.1961369219E+00,+370.9956E-06,-90.2559664E-03,-33.7104650E-03
-730.5000E-06,+1.1631595353E+00,+263.4265E-06,-90.8998106E-03,-35.7519222E-03
-730.0000E-06,+1.2112122986E+00,+894.7079E-06,-90.5072226E-03,-34.8097112E-03
-729.5000E-06,+1.1995916957E+00,+795.7757E-06,-90.3658910E-03,-34.0245353E-03
-729.0000E-06,+943.3102914E-03,-378.8474E-06,-90.6328508E-03,-35.5948870E-03
-728.5000E-06,+1.0526067726E+00,+325.4554E-06,-91.1510669E-03,-38.7355905E-03
-728.0000E-06,+1.0249685820E+00,-270.4931E-06,-90.4444086E-03,-33.7104650E-03
-727.5000E-06,+1.0048680797E+00,-434.5948E-06,-90.2559664E-03,-36.8511684E-03
-727.0000E-06,+1.1229585307E+00,-351.3662E-06,-90.5386297E-03,-33.7104650E-03
-726.5000E-06,+1.1584484801E+00,-308.9667E-06,-90.6956649E-03,-32.6112187E-03
-726.0000E-06,+1.2036746102E+00,-46.7180E-06,-90.5386297E-03,-36.2230277E-03
-725.5000E-06,+1.3239635537E+00,+795.7757E-06,-91.0882528E-03,-36.2230277E-03
-725.0000E-06,+1.3117148101E+00,+966.9441E-06,-91.1981774E-03,-33.7104650E-03
-724.5000E-06,+1.1421168219E+00,+663.0810E-06,-90.5857402E-03,-34.1815705E-03
-724.0000E-06,+1.0262248634E+00,+526.4604E-06,-90.4444086E-03,-36.2230277E-03
-723.5000E-06,+974.4032559E-03,+89.1175E-06,-90.4444086E-03,-32.4541836E-03
