x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+1.060999000E-03,,,,
+1.061000000E-03,+236.532647163E-03,+2.500504954E-03,+178.517594934E-03,-42.271289974E-03
+1.061001000E-03,+236.532647163E-03,-5.539695965E-03,+178.517594934E-03,-42.271289974E-03
+1.061002000E-03,+228.492446244E-03,-6.042208523E-03,+178.517594934E-03,-42.271289974E-03
+1.061003000E-03,+228.492446244E-03,-6.042208523E-03,+178.517594934E-03,-42.271289974E-03
+1.061004000E-03,+228.492446244E-03,+1.997992396E-03,+178.517594934E-03,-42.271289974E-03
+1.061005000E-03,+228.492446244E-03,+1.997992396E-03,+170.979906572E-03,-42.271289974E-03
+1.061006000E-03,+220.452245325E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061007000E-03,+220.452245325E-03,+1.997992396E-03,+170.477394015E-03,-39.758727187E-03
+1.061008000E-03,+212.412044406E-03,+10.038193315E-03,+170.477394015E-03,-2.070285380E-03
+1.061009000E-03,+212.412044406E-03,+2.500504954E-03,+178.517594934E-03,-2.070285380E-03
+1.061010000E-03,+204.371843487E-03,+1.997992396E-03,+170.979906572E-03,-2.070285380E-03
+1.061011000E-03,+204.371843487E-03,-5.539695965E-03,+178.517594934E-03,-39.758727187E-03
+1.061012000E-03,+204.371843487E-03,-6.042208523E-03,+178.517594934E-03,-2.070285380E-03
+1.061013000E-03,+196.331642568E-03,-6.042208523E-03,+178.517594934E-03,-2.070285380E-03
+1.061014000E-03,+196.331642568E-03,+1.997992396E-03,+170.979906572E-03,-2.070285380E-03
+1.061015000E-03,+188.291441649E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061016000E-03,+180.251240730E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061017000E-03,+180.251240730E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061018000E-03,+172.211039811E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061019000E-03,+164.170838892E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061020000E-03,+156.130637974E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061021000E-03,+148.090437055E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061022000E-03,+148.090437055E-03,+1.997992396E-03,+178.517594934E-03,+38.130719215E-03
+1.061023000E-03,+140.050236136E-03,+1.997992396E-03,+178.517594934E-03,+38.130719215E-03
+1.061024000E-03,+132.010035217E-03,+1.997992396E-03,+178.517594934E-03,+442.277407E-06
+1.061025000E-03,+123.969834298E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061026000E-03,+115.929633379E-03,+1.997992396E-03,+170.979906572E-03,-2.070285380E-03
+1.061027000E-03,+115.929633379E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061028000E-03,+107.889432460E-03,+10.038193315E-03,+170.477394015E-03,-2.070285380E-03
+1.061029000E-03,+99.849231541E-03,+10.038193315E-03,+170.477394015E-03,-2.070285380E-03
+1.061030000E-03,+99.849231541E-03,+2.500504954E-03,+170.477394015E-03,-2.070285380E-03
+1.061031000E-03,+91.809030622E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061032000E-03,+83.768829703E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061033000E-03,+75.728628784E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061034000E-03,+67.688427866E-03,-5.539695965E-03,+178.517594934E-03,-2.070285380E-03
+1.061035000E-03,+59.648226947E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061036000E-03,+51.608026028E-03,+1.997992396E-03,+170.979906572E-03,-2.070285380E-03
+1.061037000E-03,+43.567825109E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061038000E-03,+43.567825109E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061039000E-03,+35.527624190E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061040000E-03,+27.487423271E-03,+1.997992396E-03,+170.477394015E-03,-2.070285380E-03
+1.061041000E-03,+19.447222352E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061042000E-03,+11.407021433E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061043000E-03,-4.673380405E-03,-5.539695965E-03,+178.517594934E-03,-2.070285380E-03
+1.061044000E-03,-4.673380405E-03,-6.042208523E-03,+178.517594934E-03,-2.070285380E-03
+1.061045000E-03,-12.713581324E-03,-6.042208523E-03,+178.517594934E-03,-2.070285380E-03
+1.061046000E-03,-28.793983161E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061047000E-03,-28.793983161E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061048000E-03,-36.834184080E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061049000E-03,-44.874384999E-03,+1.997992396E-03,+170.979906572E-03,-2.070285380E-03
+1.061050000E-03,-52.914585918E-03,+1.997992396E-03,+170.477394015E-03,-39.758727187E-03
+1.061051000E-03,-60.954786837E-03,-5.539695965E-03,+170.477394015E-03,-42.271289974E-03
+1.061052000E-03,-68.994987756E-03,-6.042208523E-03,+162.939705653E-03,-42.271289974E-03
+1.061053000E-03,-77.035188675E-03,-6.042208523E-03,+170.477394015E-03,-2.070285380E-03
+1.061054000E-03,-85.075389594E-03,-6.042208523E-03,+170.477394015E-03,-2.070285380E-03
+1.061055000E-03,-93.115590513E-03,+1.997992396E-03,+170.477394015E-03,-39.758727187E-03
+1.061056000E-03,-101.155791432E-03,+1.997992396E-03,+178.517594934E-03,-2.070285380E-03
+1.061057000E-03,-109.195992351E-03,+1.997992396E-03,+178.517594934E-03,-39.758727187E-03
+1.061058000E-03,-117.236193269E-03,+1.997992396E-03,+178.517594934E-03,-42.271289974E-03
+1.061059000E-03,-125.276394188E-03,+1.997992396E-03,+170.979906572E-03,-42.271289974E-03
+1.061060000E-03,-125.276394188E-03,+1.997992396E-03,+170.477394015E-03,-42.271289974E-03
+1.061061000E-03,-133.316595107E-03,+1.997992396E-03,+170.477394015E-03,-42.271289974E-03
+1.061062000E-03,-133.316595107E-03,+1.997992396E-03,+162.939705653E-03,-42.271289974E-03
+1.061063000E-03,-141.356796026E-03,+1.997992396E-03,+162.437193096E-03,-42.271289974E-03
+1.061064000E-03,-149.396996945E-03,+1.997992396E-03,+162.437193096E-03,-2.070285380E-03
+1.061065000E-03,-157.437197864E-03,+1.997992396E-03,+154.899504734E-03,-2.070285380E-03
+1.061066000E-03,-165.477398783E-03,-5.539695965E-03,+130.778901977E-03,-2.070285380E-03
+1.061067000E-03,-173.517599702E-03,-6.042208523E-03,+82.537696464E-03,-2.070285380E-03
+1.061068000E-03,-173.517599702E-03,-6.042208523E-03,+26.256290032E-03,-2.070285380E-03
+1.061069000E-03,-181.557800621E-03,-6.042208523E-03,-46.105518239E-03,-2.070285380E-03
+1.061070000E-03,-181.557800621E-03,+1.997992396E-03,-118.467326509E-03,-2.070285380E-03
+1.061071000E-03,-189.598001540E-03,+1.997992396E-03,-182.788933860E-03,-39.758727187E-03
+1.061072000E-03,-197.638202459E-03,+1.997992396E-03,-231.030139374E-03,-2.070285380E-03
+1.061073000E-03,-197.638202459E-03,+1.997992396E-03,-263.190943049E-03,-39.758727187E-03
+1.061074000E-03,-205.678403378E-03,-5.539695965E-03,-287.311545806E-03,-2.070285380E-03
+1.061075000E-03,-205.678403378E-03,-6.042208523E-03,-303.391947644E-03,-2.070285380E-03
+1.061076000E-03,-213.718604296E-03,-6.042208523E-03,-303.894460201E-03,-2.070285380E-03
+1.061077000E-03,-213.718604296E-03,-6.042208523E-03,-311.432148563E-03,-2.070285380E-03
+1.061078000E-03,-221.758805215E-03,-6.042208523E-03,-311.934661120E-03,-2.070285380E-03
+1.061079000E-03,-221.758805215E-03,+1.997992396E-03,-311.934661120E-03,-2.070285380E-03
+1.061080000E-03,-221.758805215E-03,+1.997992396E-03,-311.934661120E-03,-2.070285380E-03
+1.061081000E-03,-229.799006134E-03,+1.997992396E-03,-311.934661120E-03,-2.070285380E-03
+1.061082000E-03,-229.799006134E-03,+1.997992396E-03,-319.472349482E-03,-2.070285380E-03
+1.061083000E-03,-237.839207053E-03,-5.539695965E-03,-319.974862039E-03,-2.070285380E-03
+1.061084000E-03,-237.839207053E-03,-6.042208523E-03,-327.512550401E-03,-2.070285380E-03
+1.061085000E-03,-237.839207053E-03,-6.042208523E-03,-328.015062958E-03,-2.070285380E-03
+1.061086000E-03,-237.839207053E-03,-6.042208523E-03,-335.552751319E-03,-2.070285380E-03
+1.061087000E-03,-237.839207053E-03,-6.042208523E-03,-336.055263877E-03,-2.070285380E-03
+1.061088000E-03,-245.879407972E-03,+1.997992396E-03,-343.592952238E-03,-2.070285380E-03
+1.061089000E-03,-245.879407972E-03,+1.997992396E-03,-336.055263877E-03,-2.070285380E-03
+1.061090000E-03,-245.879407972E-03,+1.997992396E-03,-343.592952238E-03,-2.070285380E-03
+1.061091000E-03,-245.879407972E-03,+1.997992396E-03,-336.055263877E-03,-2.070285380E-03
+1.061092000E-03,-245.879407972E-03,+1.997992396E-03,-336.055263877E-03,-2.070285380E-03
+1.061093000E-03,-245.879407972E-03,-5.539695965E-03,-328.015062958E-03,-2.070285380E-03
+1.061094000E-03,-245.879407972E-03,-6.042208523E-03,-319.974862039E-03,-39.758727187E-03
+1.061095000E-03,-245.879407972E-03,-6.042208523E-03,-311.934661120E-03,-42.271289974E-03
+1.061096000E-03,-245.879407972E-03,+1.997992396E-03,-311.934661120E-03,-42.271289974E-03
+1.061097000E-03,-245.879407972E-03,+1.997992396E-03,-311.934661120E-03,-42.271289974E-03
