Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.008666666667
Start Frequency,76480062
Stop Frequency,81480062
Average Count,0
Average Type,LogPower(Video)
RBW,47000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,47000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
76480062,-92.2257871395937
76485062,-92.1231147050101
76490062,-91.8593293475058
76495062,-91.7390364173413
76500062,-91.8472152459554
76505062,-92.5857211107961
76510062,-91.8972441553739
76515062,-91.7885817766799
76520062,-91.905747556279
76525062,-91.3026837421336
76530062,-90.8276130732532
76535062,-91.3769378039754
76540062,-91.4535234708447
76545062,-91.3344388880563
76550062,-91.5559108667527
76555062,-91.3590882169502
76560062,-91.571681090055
76565062,-91.905679887126
76570062,-91.5878557819199
76575062,-91.3840167775981
76580062,-91.6154877533846
76585062,-91.9152375844542
76590062,-91.7502958928635
76595062,-91.8909863315217
76600062,-91.9755350901419
76605062,-91.4335546922284
76610062,-91.7065943908956
76615062,-91.7218083800076
76620062,-91.515549259799
76625062,-91.1030542985367
76630062,-91.1612989118449
76635062,-91.2197552538968
76640062,-91.5861089319208
76645062,-91.6886999357977
76650062,-91.2166371197153
76655062,-91.3118287213542
76660062,-91.4381742882745
76665062,-91.6273449807017
76670062,-91.7391991895407
76675062,-90.7237350889857
76680062,-90.760232442529
76685062,-91.3014325184274
76690062,-91.5154392182256
76695062,-91.6638589310691
76700062,-91.745540266657
76705062,-90.9887083211864
76710062,-91.9438772201953
76715062,-91.2335974545662
76720062,-90.6550391249074
76725062,-90.8024483916958
76730062,-91.6801946086785
76735062,-91.3951523231999
76740062,-90.8319544154703
76745062,-91.2038185775387
76750062,-90.7703131532606
76755062,-91.209158653565
76760062,-91.2497649538109
76765062,-91.1575341878509
76770062,-91.2368445157096
76775062,-91.3424404648042
76780062,-90.7641136719541
76785062,-90.7373539225962
76790062,-90.8083052807373
76795062,-90.8434943587633
76800062,-91.1061951488955
76805062,-91.2377891526738
76810062,-90.6690900447288
76815062,-91.204278738709
76820062,-90.4629519480964
76825062,-90.6380990684491
76830062,-91.0642185156783
76835062,-90.4734717283206
76840062,-90.4785972036675
