Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,0.391666666667
Start Frequency,78979812
Stop Frequency,78980312
Average Count,0
Average Type,LogPower(Video)
RBW,4.7
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,4.7
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
78979812,-93.6705791585858
78979812.5,-93.8520774818778
78979813,-94.2870754679227
78979813.5,-95.0438043576087
78979814,-96.2309095995078
78979814.5,-97.7017052788398
78979815,-99.2162518681442
78979815.5,-100.846107452041
78979816,-102.242167915697
78979816.5,-103.321450575404
78979817,-104.110509605754
78979817.5,-104.481153301363
78979818,-104.499747977652
78979818.5,-104.577595789764
78979819,-104.80373448869
78979819.5,-104.90363400597
78979820,-104.612707176973
78979820.5,-104.144189457138
78979821,-103.91232057326
78979821.5,-103.898621761105
78979822,-103.869537625439
78979822.5,-103.722063510412
78979823,-103.563780931435
78979823.5,-103.483267737747
78979824,-103.457463420412
78979824.5,-103.477677503086
78979825,-103.575712119581
78979825.5,-103.653063640019
78979826,-103.592418244195
78979826.5,-103.467499677048
78979827,-103.433234178562
78979827.5,-103.500304291292
78979828,-103.545950240558
78979828.5,-103.543872014773
78979829,-103.47425744718
78979829.5,-103.22358473542
78979830,-102.806877546281
78979830.5,-102.432893201883
78979831,-102.134365918906
78979831.5,-101.90070024158
78979832,-101.782234782012
78979832.5,-101.748428435514
78979833,-101.6867884893
78979833.5,-101.591507541831
78979834,-101.501476679853
78979834.5,-101.431222735703
78979835,-101.373945647022
78979835.5,-101.314712591267
78979836,-101.240709242276
78979836.5,-101.313344189211
78979837,-101.653746047155
78979837.5,-102.058337112615
78979838,-102.315294763813
78979838.5,-102.489563436615
78979839,-102.593368345466
78979839.5,-102.609764919824
78979840,-102.598217408313
78979840.5,-102.633477045587
78979841,-102.65172837966
78979841.5,-102.510025831426
78979842,-102.201896435751
78979842.5,-101.881807039063
78979843,-101.580062544114
78979843.5,-101.315824442349
78979844,-101.189291566852
78979844.5,-101.175866387145
78979845,-101.135992581073
78979845.5,-101.051570919183
78979846,-100.948067335657
78979846.5,-100.805155072515
78979847,-100.647017914776
78979847.5,-100.581935765068
